Property Name,Date,price
Albany Room,10/12/2024,61000
Amani Room,10/12/2024,33200
Amani Premium Room,10/12/2024,33200
Amani Premium Room,11/12/2024,33200
Amani Premium Room,12/12/2024,33300
Amani Premium Room,13/12/2024,36600
Albany Room,14/12/2024,73300
Amani Premium Room,14/12/2024,44500
Airyland Room,15/12/2024,119700
Airyland Room,15/12/2024,102700
Airyland Room,15/12/2024,85600
Albany Room,15/12/2024,76300
Amani Room,15/12/2024,46400
Amani Premium Room,15/12/2024,46400
Airyland Room,16/12/2024,93500
Airyland Room,16/12/2024,80200
Airyland Room,16/12/2024,66900
Albany Room,16/12/2024,60200
Amani Room,16/12/2024,36600
Amani Premium Room,16/12/2024,36600
Airyland Room,17/12/2024,84300
Airyland Room,17/12/2024,72300
Albany Room,17/12/2024,61000
Airyland Room,17/12/2024,60300
Amani Room,17/12/2024,33300
Amani Premium Room,17/12/2024,33300
Airyland Room,18/12/2024,84300
Airyland Room,18/12/2024,72300
Airyland Room,18/12/2024,60300
Amani Room,18/12/2024,33300
Amani Premium Room,18/12/2024,33300
Airyland Room,19/12/2024,84300
Airyland Room,19/12/2024,72300
Airyland Room,19/12/2024,60300
Amani Room,19/12/2024,33300
Amani Premium Room,19/12/2024,33300
Airyland Room,20/12/2024,118200
Airyland Room,20/12/2024,118200
Airyland Room,20/12/2024,118200
Amani Room,20/12/2024,40500
Amani Premium Room,20/12/2024,40500
Airyland Room,21/12/2024,126000
Airyland Room,21/12/2024,126000
Airyland Room,21/12/2024,126000
Amani Room,21/12/2024,43200
Amani Premium Room,21/12/2024,43200
Airyland Room,22/12/2024,112400
Airyland Room,22/12/2024,112400
Airyland Room,22/12/2024,112400
Albany Room,22/12/2024,77100
Amani Room,22/12/2024,38600
Amani Premium Room,22/12/2024,38600
Airyland Room,23/12/2024,105000
Airyland Room,23/12/2024,105000
Airyland Room,23/12/2024,105000
Albany Room,23/12/2024,72000
Amani Room,23/12/2024,36000
Amani Premium Room,23/12/2024,36000
Airyland Room,24/12/2024,105000
Airyland Room,24/12/2024,105000
Airyland Room,24/12/2024,105000
Amani Room,24/12/2024,36000
Amani Premium Room,24/12/2024,36000
Airyland Room,25/12/2024,119000
Airyland Room,25/12/2024,119000
Airyland Room,25/12/2024,119000
Amani Room,25/12/2024,40800
Amani Premium Room,25/12/2024,40800
Airyland Room,26/12/2024,112400
Airyland Room,26/12/2024,112400
Airyland Room,26/12/2024,112400
Airyland Room,27/12/2024,118200
Airyland Room,27/12/2024,118200
Airyland Room,27/12/2024,118200
Albany Room,27/12/2024,81000
Airyland Room,28/12/2024,126000
Airyland Room,28/12/2024,126000
Airyland Room,28/12/2024,126000
Airyland Room,29/12/2024,112400
Airyland Room,29/12/2024,112400
Airyland Room,29/12/2024,112400
Amani Room,29/12/2024,38600
Amani Premium Room,29/12/2024,38600
Airyland Room,30/12/2024,133000
Airyland Room,30/12/2024,133000
Airyland Room,30/12/2024,133000
Amani Room,30/12/2024,45600
Amani Premium Room,30/12/2024,45600
Airyland Room,31/12/2024,175000
Airyland Room,31/12/2024,175000
Airyland Room,31/12/2024,175000
Amani Premium Room,31/12/2024,60000
Amani Room,31/12/2024,60000
Airyland Room,01/01/2025,133000
Airyland Room,01/01/2025,133000
Airyland Room,01/01/2025,133000
Albany Room,01/01/2025,91200
Amani Room,01/01/2025,45600
Amani Premium Room,01/01/2025,45600
Airyland Room,02/01/2025,112400
Airyland Room,02/01/2025,112400
Airyland Room,02/01/2025,112400
Albany Room,02/01/2025,77100
Amani Room,02/01/2025,38600
Amani Premium Room,02/01/2025,38600
Airyland Room,03/01/2025,118200
Airyland Room,03/01/2025,118200
Airyland Room,03/01/2025,118200
Albany Room,03/01/2025,81000
Amani Room,03/01/2025,40500
Amani Premium Room,03/01/2025,40500
Airyland Room,04/01/2025,126000
Airyland Room,04/01/2025,126000
Airyland Room,04/01/2025,126000
Albany Room,04/01/2025,86400
Amani Premium Room,04/01/2025,43200
Amani Room,04/01/2025,43200
Airyland Room,05/01/2025,112400
Airyland Room,05/01/2025,112400
Airyland Room,05/01/2025,112400
Albany Room,05/01/2025,77100
Amani Room,05/01/2025,38600
Amani Premium Room,05/01/2025,38600
Airyland Room,06/01/2025,102900
Airyland Room,06/01/2025,88300
Airyland Room,06/01/2025,73500
Albany Room,06/01/2025,65900
Amani Room,06/01/2025,44600
Amani Premium Room,06/01/2025,44600
Airyland Room,07/01/2025,92900
Airyland Room,07/01/2025,79700
Airyland Room,07/01/2025,66400
Albany Room,07/01/2025,59900
Amani Room,07/01/2025,40500
Amani Premium Room,07/01/2025,40500
Airyland Room,08/01/2025,92900
Airyland Room,08/01/2025,79700
Airyland Room,08/01/2025,66400
Albany Room,08/01/2025,59900
Amani Premium Room,08/01/2025,40500
Amani Room,08/01/2025,40500
Airyland Room,09/01/2025,92900
Airyland Room,09/01/2025,79700
Airyland Room,09/01/2025,66400
Albany Room,09/01/2025,59900
Amani Room,09/01/2025,36300
Amani Premium Room,09/01/2025,36300
Airyland Room,10/01/2025,103000
Airyland Room,10/01/2025,88400
Airyland Room,10/01/2025,73600
Albany Room,10/01/2025,65900
Amani Room,10/01/2025,40100
Amani Premium Room,10/01/2025,40100
Airyland Room,11/01/2025,126300
Airyland Room,11/01/2025,108300
Airyland Room,11/01/2025,90200
Albany Room,11/01/2025,80300
Amani Room,11/01/2025,48800
Amani Premium Room,11/01/2025,48800
Airyland Room,12/01/2025,132200
Airyland Room,12/01/2025,113300
Airyland Room,12/01/2025,94400
Albany Room,12/01/2025,83500
Amani Room,12/01/2025,50800
Amani Premium Room,12/01/2025,50800
Airyland Room,13/01/2025,103000
Airyland Room,13/01/2025,88400
Airyland Room,13/01/2025,73600
Albany Room,13/01/2025,65900
Amani Room,13/01/2025,40100
Amani Premium Room,13/01/2025,40100
Airyland Room,14/01/2025,92900
Airyland Room,14/01/2025,79700
Airyland Room,14/01/2025,66400
Albany Room,14/01/2025,59900
Amani Room,14/01/2025,36300
Amani Premium Room,14/01/2025,36300
Airyland Room,15/01/2025,92900
Airyland Room,15/01/2025,79700
Airyland Room,15/01/2025,66400
Albany Room,15/01/2025,50000
Amani Room,15/01/2025,33000
Amani Premium Room,15/01/2025,33000
Airyland Room,16/01/2025,92900
Airyland Room,16/01/2025,79700
Airyland Room,16/01/2025,66400
Albany Room,16/01/2025,50000
Amani Room,16/01/2025,33000
Amani Premium Room,16/01/2025,33000
Airyland Room,17/01/2025,103000
Airyland Room,17/01/2025,88400
Airyland Room,17/01/2025,73600
Albany Room,17/01/2025,55000
Amani Room,17/01/2025,33400
Amani Premium Room,17/01/2025,33400
Airyland Room,18/01/2025,126500
Airyland Room,18/01/2025,108500
Airyland Room,18/01/2025,90500
Albany Room,18/01/2025,66900
Amani Room,18/01/2025,40600
Amani Premium Room,18/01/2025,40600
Airyland Room,19/01/2025,132200
Airyland Room,19/01/2025,113300
Airyland Room,19/01/2025,94400
Albany Room,19/01/2025,69800
Amani Room,19/01/2025,42400
Amani Premium Room,19/01/2025,42400
Airyland Room,20/01/2025,103400
Airyland Room,20/01/2025,88700
Airyland Room,20/01/2025,74000
Albany Room,20/01/2025,55000
Amani Room,20/01/2025,33500
Amani Premium Room,20/01/2025,33500
Airyland Room,21/01/2025,92900
Airyland Room,21/01/2025,79700
Airyland Room,21/01/2025,66400
Albany Room,21/01/2025,50000
Amani Room,21/01/2025,33000
Amani Premium Room,21/01/2025,33000
Airyland Room,22/01/2025,92900
Airyland Room,22/01/2025,79700
Airyland Room,22/01/2025,66400
Albany Room,22/01/2025,50000
Amani Room,22/01/2025,33000
Amani Premium Room,22/01/2025,33000
Airyland Room,23/01/2025,92900
Airyland Room,23/01/2025,79700
Airyland Room,23/01/2025,66400
Amani Room,23/01/2025,33000
Amani Premium Room,23/01/2025,33000
Airyland Room,24/01/2025,113800
Airyland Room,24/01/2025,113800
Airyland Room,24/01/2025,113800
Amani Room,24/01/2025,37300
Amani Premium Room,24/01/2025,37300
Airyland Room,25/01/2025,139200
Airyland Room,25/01/2025,139200
Airyland Room,25/01/2025,139200
Amani Room,25/01/2025,40600
Amani Premium Room,25/01/2025,40600
Airyland Room,26/01/2025,145500
Airyland Room,26/01/2025,145500
Airyland Room,26/01/2025,145500
Amani Room,26/01/2025,56600
Amani Premium Room,26/01/2025,56600
Airyland Room,27/01/2025,113800
Airyland Room,27/01/2025,97600
Airyland Room,27/01/2025,81300
Albany Room,27/01/2025,55000
Amani Premium Room,27/01/2025,44600
Amani Room,27/01/2025,44600
Airyland Room,28/01/2025,102300
Airyland Room,28/01/2025,87800
Airyland Room,28/01/2025,73200
Albany Room,28/01/2025,50100
Amani Premium Room,28/01/2025,40500
Amani Room,28/01/2025,40500
Airyland Room,29/01/2025,102300
Airyland Room,29/01/2025,87800
Airyland Room,29/01/2025,73200
Albany Room,29/01/2025,50100
Amani Room,29/01/2025,33000
Amani Premium Room,29/01/2025,33000
Airyland Room,30/01/2025,102300
Airyland Room,30/01/2025,87800
Airyland Room,30/01/2025,73200
Amani Room,30/01/2025,33000
Amani Premium Room,30/01/2025,33000
Airyland Room,31/01/2025,113800
Airyland Room,31/01/2025,97600
Airyland Room,31/01/2025,81300
Amani Room,31/01/2025,33600
Amani Premium Room,31/01/2025,33600
Airyland Room,01/02/2025,139400
Airyland Room,01/02/2025,119500
Airyland Room,01/02/2025,99600
Amani Room,01/02/2025,40700
Amani Premium Room,01/02/2025,40700
Airyland Room,02/02/2025,145900
Airyland Room,02/02/2025,125100
Airyland Room,02/02/2025,104300
Albany Room,02/02/2025,69900
Amani Room,02/02/2025,42500
Amani Premium Room,02/02/2025,42500
Airyland Room,03/02/2025,113800
Airyland Room,03/02/2025,97600
Airyland Room,03/02/2025,81300
Albany Room,03/02/2025,55200
Amani Room,03/02/2025,33600
Amani Premium Room,03/02/2025,33600
Airyland Room,04/02/2025,102500
Airyland Room,04/02/2025,87800
Airyland Room,04/02/2025,73200
Albany Room,04/02/2025,50100
Amani Room,04/02/2025,33000
Amani Premium Room,04/02/2025,33000
Airyland Room,05/02/2025,102500
Airyland Room,05/02/2025,87800
Airyland Room,05/02/2025,73200
Albany Room,05/02/2025,50100
Amani Room,05/02/2025,33000
Amani Premium Room,05/02/2025,33000
Airyland Room,06/02/2025,102500
Airyland Room,06/02/2025,87800
Airyland Room,06/02/2025,73200
Albany Room,06/02/2025,50100
Amani Room,06/02/2025,33000
Amani Premium Room,06/02/2025,33000
Airyland Room,07/02/2025,113800
Airyland Room,07/02/2025,97600
Airyland Room,07/02/2025,81300
Albany Room,07/02/2025,55200
Amani Room,07/02/2025,33600
Amani Premium Room,07/02/2025,33600
Airyland Room,08/02/2025,139400
Airyland Room,08/02/2025,119500
Airyland Room,08/02/2025,99600
Albany Room,08/02/2025,67100
Amani Room,08/02/2025,40700
Amani Premium Room,08/02/2025,40700
Airyland Room,09/02/2025,146000
Airyland Room,09/02/2025,125200
Airyland Room,09/02/2025,104300
Albany Room,09/02/2025,69900
Amani Room,09/02/2025,42500
Amani Premium Room,09/02/2025,42500
Airyland Room,10/02/2025,113900
Airyland Room,10/02/2025,97700
Airyland Room,10/02/2025,81400
Albany Room,10/02/2025,55200
Amani Room,10/02/2025,33600
Amani Premium Room,10/02/2025,33600
Airyland Room,11/02/2025,102500
Airyland Room,11/02/2025,87800
Airyland Room,11/02/2025,73200
Albany Room,11/02/2025,50100
Amani Room,11/02/2025,33000
Amani Premium Room,11/02/2025,33000
Airyland Room,12/02/2025,102500
Airyland Room,12/02/2025,87800
Airyland Room,12/02/2025,73200
Albany Room,12/02/2025,50100
Amani Room,12/02/2025,33000
Amani Premium Room,12/02/2025,33000
Airyland Room,13/02/2025,102500
Airyland Room,13/02/2025,87800
Airyland Room,13/02/2025,73200
Albany Room,13/02/2025,50200
Amani Room,13/02/2025,33000
Amani Premium Room,13/02/2025,33000
Airyland Room,14/02/2025,113900
Airyland Room,14/02/2025,97700
Airyland Room,14/02/2025,81400
Albany Room,14/02/2025,55200
Amani Room,14/02/2025,33600
Amani Premium Room,14/02/2025,33600
Airyland Room,15/02/2025,152300
Airyland Room,15/02/2025,130600
Airyland Room,15/02/2025,108800
Albany Room,15/02/2025,72900
Amani Room,15/02/2025,44300
Amani Premium Room,15/02/2025,44300
Airyland Room,16/02/2025,159200
Airyland Room,16/02/2025,136600
Airyland Room,16/02/2025,113800
Albany Room,16/02/2025,75900
Amani Room,16/02/2025,46100
Amani Premium Room,16/02/2025,46100
Airyland Room,17/02/2025,124200
Airyland Room,17/02/2025,106500
Airyland Room,17/02/2025,88800
Albany Room,17/02/2025,59900
Amani Room,17/02/2025,36300
Amani Premium Room,17/02/2025,36300
Airyland Room,18/02/2025,112000
Airyland Room,18/02/2025,96100
Airyland Room,18/02/2025,80100
Albany Room,18/02/2025,54300
Amani Room,18/02/2025,33000
Amani Premium Room,18/02/2025,33000
Airyland Room,19/02/2025,112000
Airyland Room,19/02/2025,96100
Airyland Room,19/02/2025,80100
Albany Room,19/02/2025,54300
Amani Room,19/02/2025,33000
Amani Premium Room,19/02/2025,33000
Airyland Room,20/02/2025,112000
Airyland Room,20/02/2025,96100
Airyland Room,20/02/2025,80100
Albany Room,20/02/2025,54300
Amani Room,20/02/2025,33000
Amani Premium Room,20/02/2025,33000
Airyland Room,21/02/2025,124600
Airyland Room,21/02/2025,106900
Airyland Room,21/02/2025,89000
Albany Room,21/02/2025,59900
Amani Room,21/02/2025,36300
Amani Premium Room,21/02/2025,36300
Airyland Room,22/02/2025,152400
Airyland Room,22/02/2025,130700
Airyland Room,22/02/2025,108900
Albany Room,22/02/2025,73000
Amani Room,22/02/2025,44300
Amani Premium Room,22/02/2025,44300
Airyland Room,23/02/2025,159300
Airyland Room,23/02/2025,136700
Airyland Room,23/02/2025,113900
Albany Room,23/02/2025,76100
Amani Room,23/02/2025,46100
Amani Premium Room,23/02/2025,46100
Airyland Room,24/02/2025,124600
Airyland Room,24/02/2025,106900
Airyland Room,24/02/2025,89000
Albany Room,24/02/2025,59900
Amani Room,24/02/2025,36300
Amani Premium Room,24/02/2025,36300
Airyland Room,25/02/2025,112100
Airyland Room,25/02/2025,96200
Airyland Room,25/02/2025,80100
Albany Room,25/02/2025,54400
Amani Room,25/02/2025,33000
Amani Premium Room,25/02/2025,33000
Airyland Room,26/02/2025,112100
Airyland Room,26/02/2025,96200
Airyland Room,26/02/2025,80100
Albany Room,26/02/2025,54400
Amani Room,26/02/2025,33000
Amani Premium Room,26/02/2025,33000
Airyland Room,27/02/2025,112100
